method,noise_type,filename,PSNR,SSIM
nl_means,sp_0.03,kodim12.png,27.7978,0.6768
nl_means,sp_0.03,kodim13.png,24.1629,0.7370
nl_means,sp_0.03,kodim14.png,24.7499,0.6688
nl_means,sp_0.03,kodim15.png,25.0286,0.6467
nl_means,sp_0.03,kodim16.png,27.3059,0.7062
nl_means,sp_0.03,kodim17.png,25.2257,0.6662
nl_means,sp_0.03,kodim18.png,24.6564,0.6933
nl_means,sp_0.03,kodim19.png,26.9273,0.7382
nl_means,sp_0.03,kodim20.png,25.8971,0.6802
nl_means,sp_0.03,kodim21.png,26.3085,0.7571
nl_means,sp_0.03,kodim22.png,26.7898,0.6760
nl_means,sp_0.03,kodim23.png,28.4568,0.7590
nl_means,sp_0.03,kodim24.png,25.5303,0.7271
nl_means,sp_0.05,kodim01.png,22.0754,0.6264
nl_means,sp_0.05,kodim02.png,22.1844,0.4544
nl_means,sp_0.05,kodim03.png,23.3792,0.4949
nl_means,sp_0.05,kodim04.png,22.7301,0.5188
nl_means,sp_0.05,kodim05.png,20.4971,0.6274
nl_means,sp_0.05,kodim06.png,22.3511,0.5565
nl_means,sp_0.05,kodim07.png,22.9075,0.5848
nl_means,sp_0.05,kodim08.png,21.1335,0.6767
nl_means,sp_0.05,kodim09.png,23.7930,0.5401
nl_means,sp_0.05,kodim10.png,23.6853,0.5339
nl_means,sp_0.05,kodim11.png,21.9198,0.5259
nl_means,sp_0.05,kodim12.png,23.0918,0.4782
nl_means,sp_0.05,kodim13.png,21.3282,0.6508
nl_means,sp_0.05,kodim14.png,21.2776,0.5446
nl_means,sp_0.05,kodim15.png,20.5706,0.4430
nl_means,sp_0.05,kodim16.png,22.9980,0.5128
nl_means,sp_0.05,kodim17.png,21.0962,0.4849
nl_means,sp_0.05,kodim18.png,20.7520,0.5276
nl_means,sp_0.05,kodim19.png,23.0231,0.5670
nl_means,sp_0.05,kodim20.png,20.7201,0.4637
nl_means,sp_0.05,kodim21.png,22.6654,0.5732
nl_means,sp_0.05,kodim22.png,23.0562,0.5236
nl_means,sp_0.05,kodim23.png,23.1546,0.5043
nl_means,sp_0.05,kodim24.png,22.0052,0.5694
